id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
1818;Claymore;7.74;Madhouse;Action, Adventure, Fantasy;Gore, Mythology, Super Power;Shounen;R+ - Mild Nudity
2034;Lovely★Complex;8.03;Toei Animation;Comedy, Romance;School;Shoujo;PG-13 - Teens 13 or older
2104;Seto no Hanayome;7.68;Gonzo;Comedy, Romance;Organized Crime, Parody, School;Shounen;PG-13 - Teens 13 or older
2026;Hayate no Gotoku!;7.52;SynergySP;Action, Comedy, Romance;Harem, Parody;Shounen;PG-13 - Teens 13 or older
1690;Bokura no;7.62;Gonzo;Drama, Sci-Fi;Mecha, Psychological, Survival;Seinen;R - 17+ (violence & profanity)
1722;Nagasarete Airantou;7.22;feel.;Comedy, Fantasy, Romance, Ecchi;Harem;Shounen;PG-13 - Teens 13 or older
2159;Ookiku Furikabutte;7.89;A-1 Pictures;Sports;Team Sports;Seinen;PG-13 - Teens 13 or older
2130;Kaibutsu Oujo;6.99;Madhouse;Action, Comedy, Horror, Supernatural;Vampire;Shounen;PG-13 - Teens 13 or older
2158;Terra e... (TV);7.89;Tokyo Kids;Action, Drama, Sci-Fi;Military, Space;Shounen;PG-13 - Teens 13 or older
1808;Kamichama Karin;7.21;Satelight;Comedy, Fantasy, Romance;Mahou Shoujo, School;Shoujo;PG-13 - Teens 13 or older
2112;Over Drive;7.54;Xebec;Sports;Racing;Shounen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
1914;Saiunkoku Monogatari 2nd Season;8.03;Madhouse;Adventure, Fantasy, Romance;Historical, Reverse Harem;Shoujo;PG-13 - Teens 13 or older
2035;Eikoku Koi Monogatari Emma: Molders-hen;7.82;Ajia-Do;Drama, Romance;Historical;Seinen;G - All Ages
1721;Hitohira;6.76;XEBEC M2;Drama, Romance;Performing Arts, School;Seinen;PG-13 - Teens 13 or older
1878;Kaze no Shoujo Emily;7.37;TMS Entertainment;Drama;Historical;Shoujo;G - All Ages
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
