id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
11633;Blood Lad;7.26;Brain's Base;Action, Comedy, Supernatural;Delinquents, Mythology, Vampire;Seinen;PG-13 - Teens 13 or older
16706;Kami nomi zo Shiru Sekai: Megami-hen;8.01;Manglobe;Comedy, Romance, Supernatural;Harem, Otaku Culture;Shounen;PG-13 - Teens 13 or older
16918;Gin no Saji;8.09;A-1 Pictures;Comedy;School;Shounen;PG-13 - Teens 13 or older
18119;Servant x Service;7.63;A-1 Pictures;Comedy, Slice of Life;Workplace;Seinen;PG-13 - Teens 13 or older
15605;Brothers Conflict;5.97;Brain's Base;Romance;Reverse Harem;Shoujo;PG-13 - Teens 13 or older
17741;Kimi no Iru Machi;6.84;Gonzo;Drama, Romance;Love Polygon;Shounen;R+ - Mild Nudity
17389;Kingdom 2nd Season;8.33;Pierrot;Action;Historical, Military;Seinen;R - 17+ (violence & profanity)
16890;Makai Ouji: Devils and Realist;7.02;Doga Kobo;Comedy, Fantasy, Mystery;Historical, Mythology, School;Josei;PG-13 - Teens 13 or older
18055;Hakkenden: Touhou Hakken Ibun 2nd Season;7.62;Studio Deen;Action, Fantasy, Supernatural;Mythology;Shoujo;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
18523;Senyuu. 2;7.43;Ordet;Action, Comedy, Fantasy;Parody;Shounen;PG-13 - Teens 13 or older
18465;Genshiken Nidaime;7.44;Production I.G;Comedy, Slice of Life;Parody;Seinen;R - 17+ (violence & profanity)
18121;Teekyuu 2;6.69;MAPPA;Comedy;School;Shounen;PG-13 - Teens 13 or older
18099;Recorder to Randoseru Mi☆;6.62;Seven;Comedy, Slice of Life;School;Seinen;PG-13 - Teens 13 or older
18771;Gifuu Doudou!!: Kanetsugu to Keiji;6.44;Studio Deen;Action;Historical, Martial Arts, Samurai;Seinen;R - 17+ (violence & profanity)
