id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
2605;Sayonara Zetsubou Sensei;7.86;Shaft;Comedy;Gag Humor, Parody, School;Shounen;R - 17+ (violence & profanity)
2216;Shigurui;7.37;Madhouse;Action, Drama;Adult Cast, Gore, Historical, Martial Arts, Psychological, Samurai;Seinen;R+ - Mild Nudity
2608;Wangan Midnight;7.47;A.C.G.T.;Action;Racing;Seinen;PG-13 - Teens 13 or older
2602;Kenkou Zenrakei Suiei-bu Umishou;7.12;Artland;Comedy, Sports, Ecchi;School;Shounen;PG-13 - Teens 13 or older
2744;Potemayo;7.28;J.C.Staff;Comedy;School;Seinen;PG-13 - Teens 13 or older
5276;Happy Happy Clover;6.45;Group TAC;Comedy, Fantasy;Iyashikei;Kids;G - All Ages
