id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
801;Koukaku Kidoutai: Stand Alone Complex 2nd GIG;8.52;Production I.G;Action, Mystery, Sci-Fi;Adult Cast, Detective, Mecha, Military;Seinen;R - 17+ (violence & profanity)
242;Gokusen;7.41;Madhouse;Comedy, Drama, Slice of Life;Delinquents, Organized Crime, School, Workplace;Josei;R - 17+ (violence & profanity)
284;Area 88 (TV);7;Group TAC;Action, Drama, Romance;Military;Shounen;PG-13 - Teens 13 or older
2789;B-Legend! Battle B-Daman;6.29;Nippon Animation;Adventure, Fantasy;Strategy Game;Kids;PG - Children
1246;Yuugo: Koushounin;7.07;Artland;Action, Drama, Mystery, Suspense;Military, Psychological;Seinen;R - 17+ (violence & profanity)
2740;Monkey Turn;6.75;OLM;Action, Drama;Racing;Shounen;PG-13 - Teens 13 or older
