id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
481;Yu☆Gi☆Oh! Duel Monsters;7.47;Gallop;Action, Adventure, Fantasy;Strategy Game;Shounen;PG-13 - Teens 13 or older
189;Love Hina;7.1;Xebec;Comedy, Romance, Ecchi;Harem;Shounen;PG-13 - Teens 13 or older
1313;Digimon Adventure 02;7.23;Toei Animation;Action, Adventure, Comedy, Drama, Fantasy;Isekai;Kids;PG - Children
104;Ayashi no Ceres;7.19;Pierrot;Adventure, Drama, Horror, Romance, Supernatural, Suspense;Psychological, Reincarnation;Shoujo;R - 17+ (violence & profanity)
129;Gensoumaden Saiyuuki;7.55;Pierrot;Action, Adventure, Comedy, Drama, Supernatural;Mythology;Shounen;R - 17+ (violence & profanity)
233;Daa! Daa! Daa!;7.66;J.C.Staff;Comedy, Sci-Fi;Childcare;Shoujo;G - All Ages
2694;Hidamari no Ki;7.16;Madhouse;Action, Award Winning, Drama;Historical, Medical, Samurai;Seinen;R+ - Mild Nudity
