id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
710;Rec;7.29;Shaft;Comedy, Drama, Romance;Showbiz;Seinen;PG-13 - Teens 13 or older
558;Major S2;8.2;Studio Hibari;Sports;Team Sports;Shounen;PG-13 - Teens 13 or older
886;Amaenaide yo!! Katsu!!;6.66;Studio Deen;Comedy, Romance, Supernatural, Ecchi;Harem;Seinen;R+ - Mild Nudity
576;Magikano;6.32;Tokyo Kids;Comedy, Fantasy, Romance;Harem;Shounen;PG-13 - Teens 13 or older
5968;Kinnikuman II Sei: Ultimate Muscle 2;6.98;Toei Animation;Action, Comedy, Sci-Fi, Sports;Combat Sports, Martial Arts;Shounen;PG-13 - Teens 13 or older
2285;D.I.C.E.;6.33;Xebec;Action, Adventure, Sci-Fi;Mecha;Kids;PG - Children
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
4101;Wan Wan Celepoo Soreyuke! Tetsunoshin;6.64;Studio Comet;Comedy, Fantasy;Pets;Kids;G - All Ages
