id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
249;InuYasha;7.86;Sunrise;Action, Adventure, Fantasy, Romance;Historical, Mythology, Time Travel;Shounen;PG-13 - Teens 13 or older
263;Hajime no Ippo;8.75;Madhouse;Sports;Combat Sports;Shounen;PG-13 - Teens 13 or older
243;Gravitation;6.94;Studio Deen;Boys Love, Comedy;Music;Shoujo;PG-13 - Teens 13 or older
553;Yami no Matsuei;7.04;J.C.Staff;Boys Love, Comedy, Drama, Fantasy, Horror;Vampire;Shoujo;R - 17+ (violence & profanity)
598;Jinzou Ningen Kikaider The Animation;6.96;Radix;Action, Drama, Sci-Fi;Mecha;Shounen;PG-13 - Teens 13 or older
4067;Shin Megami Tensei Devil Children;7.07;Tokyo Movie;Action, Adventure, Fantasy, Sci-Fi, Supernatural;Mythology, Video Game;Kids;PG - Children
8220;Baby Felix;5.54;Radix;Comedy;Anthropomorphic;Kids;G - All Ages
