id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
13535;Binbougami ga!;7.68;Sunrise;Comedy, Supernatural;Parody;Shounen;PG-13 - Teens 13 or older
12967;Arcana Famiglia;6.26;J.C.Staff;Action, Fantasy, Romance;Reverse Harem;Shoujo;PG-13 - Teens 13 or older
12031;Kingdom;7.94;Pierrot;Action;Historical, Military;Seinen;R - 17+ (violence & profanity)
12679;Joshiraku;7.46;J.C.Staff;Comedy;Adult Cast, CGDCT, Gag Humor, Parody, Performing Arts;Shounen;PG-13 - Teens 13 or older
13585;Natsuyuki Rendezvous;7.27;Doga Kobo;Drama, Romance, Supernatural;Adult Cast;Josei;PG-13 - Teens 13 or older
13115;Hakuouki: Reimeiroku;7.44;Studio Deen;Action, Drama, Supernatural;Historical, Samurai;Josei;R - 17+ (violence & profanity)
13349;Chouyaku Hyakuninisshu: Uta Koi.;7.45;TYO Animations;Comedy, Romance;Historical;Josei;PG-13 - Teens 13 or older
13409;Moyashimon Returns;7.21;Telecom Animation Film;Comedy, Gourmet, Supernatural;School;Seinen;PG-13 - Teens 13 or older
14277;Chitose Get You!!;6.21;SILVER LINK.;Comedy, Romance;School;Seinen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
