id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
1735;Naruto: Shippuuden;8.25;Pierrot;Action, Adventure, Fantasy;Martial Arts;Shounen;PG-13 - Teens 13 or older
1698;Nodame Cantabile;8.27;J.C.Staff;Comedy, Romance;Adult Cast, Music;Josei;PG-13 - Teens 13 or older
1842;Major S3;8.23;Studio Hibari;Sports;Team Sports;Shounen;PG-13 - Teens 13 or older
1836;Shuffle! Memories;6.53;asread.;Comedy, Drama, Fantasy, Romance, Ecchi;Harem, School;Seinen;PG-13 - Teens 13 or older
1864;Koisuru Tenshi Angelique: Kagayaki no Ashita;6.91;Satelight;Drama, Fantasy, Romance;Reverse Harem;Shoujo;PG-13 - Teens 13 or older
3146;GR: Giant Robo;6.31;A.C.G.T.;Adventure, Sci-Fi;Mecha, Military;Shounen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
