id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
16498;Shingeki no Kyojin;8.53;Wit Studio;Action, Award Winning, Drama, Suspense;Gore, Military, Survival;Shounen;R - 17+ (violence & profanity)
16201;Aku no Hana;7.14;Zexcs;Drama, Romance;Psychological, School;Shounen;R - 17+ (violence & profanity)
12711;Uta no☆Prince-sama♪ Maji Love 2000%;7.19;A-1 Pictures;Comedy, Romance;Idols (Male), Music, Reverse Harem, School;Shoujo;PG-13 - Teens 13 or older
16355;Dansai Bunri no Crime Edge;6.68;Studio Gokumi;Action, Fantasy, Romance;Survival;Seinen;R - 17+ (violence & profanity)
17505;Mushibugyou;7.31;Seven Arcs Pictures;Action, Fantasy, Ecchi;Historical, Martial Arts, Samurai, Super Power;Shounen;PG-13 - Teens 13 or older
17082;Aiura;6.66;LIDENFILMS;Comedy, Slice of Life;CGDCT, Iyashikei, School;Shounen;G - All Ages
16518;Arata Kangatari;6.45;Satelight;Adventure, Fantasy;Isekai;Shounen;PG-13 - Teens 13 or older
15863;Ginga Kikoutai Majestic Prince;7.33;Doga Kobo;Action, Sci-Fi;Mecha, School, Space;Seinen;PG-13 - Teens 13 or older
18097;Inazuma Eleven Go: Galaxy;6.63;OLM;Sports;Super Power, Team Sports;Shounen;G - All Ages
16982;Hayate no Gotoku! Cuties;7.02;Manglobe;Comedy, Romance;Harem, Parody;Shounen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
17249;Pretty Rhythm: Rainbow Live;7.55;Tatsunoko Production;Sports;Idols (Female), Music;Shoujo;PG - Children
17917;Danball Senki Wars;7.03;OLM;Action;Mecha;Kids;G - All Ages
17497;Jewelpet Happiness;7.03;Studio Comet;Fantasy;Anthropomorphic;Shoujo;PG - Children
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
