id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
1535;Death Note;8.62;Madhouse;Supernatural, Suspense;Psychological;Shounen;R - 17+ (violence & profanity)
1482;D.Gray-man;8.02;TMS Entertainment;Action, Adventure, Comedy;Mythology, Super Power;Shounen;PG-13 - Teens 13 or older
1604;Katekyo Hitman Reborn!;8.14;Artland;Action, Comedy;Organized Crime, Super Power;Shounen;PG-13 - Teens 13 or older
1519;Black Lagoon: The Second Barrage;8.18;Madhouse;Action;Adult Cast, Organized Crime;Seinen;R - 17+ (violence & profanity)
1559;Shijou Saikyou no Deshi Kenichi;8.06;TMS Entertainment;Action, Comedy;Martial Arts, School;Shounen;PG-13 - Teens 13 or older
1536;Busou Renkin;7.3;Xebec;Action, Fantasy, Supernatural;School;Shounen;PG-13 - Teens 13 or older
1562;Yamato Nadeshiko Shichihenge♥;7.73;Nippon Animation;Comedy;Reverse Harem;Shoujo;PG-13 - Teens 13 or older
1606;Kekkaishi;7.6;Sunrise;Action, Adventure, Supernatural;Mythology;Shounen;PG-13 - Teens 13 or older
1579;Kiniro no Corda: Primo Passo;7.43;Yumeta Company;Comedy, Drama, Romance;Music, Reverse Harem, School;Shoujo;PG-13 - Teens 13 or older
1589;Bartender;7.34;Palm Studio;Drama, Gourmet, Slice of Life;Iyashikei, Workplace;Seinen;PG-13 - Teens 13 or older
1568;Sumomomo Momomo: Chijou Saikyou no Yome;6.85;Studio Hibari;Action, Comedy, Romance;Martial Arts;Seinen;PG-13 - Teens 13 or older
1557;Shounen Onmyouji;7.55;Studio Deen;Action, Fantasy, Supernatural;Historical, Mythology;Shoujo;PG-13 - Teens 13 or older
1538;Pumpkin Scissors;7.16;Gonzo;Action, Comedy, Drama;Military;Shounen;R - 17+ (violence & profanity)
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
1592;Hataraki Man;7.01;Gallop;Comedy, Drama, Romance;Adult Cast, Workplace;Seinen;PG-13 - Teens 13 or older
1583;009-1;6.22;Ishimori Entertainment;Action, Sci-Fi;Mecha;Seinen;R - 17+ (violence & profanity)
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
