id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
1707;Kinnikuman II Sei;6.91;Toei Animation;Action, Comedy, Sci-Fi, Sports;Combat Sports, Martial Arts;Shounen;PG-13 - Teens 13 or older
2287;Kakutou Ryouri Densetsu Bistro Recipe;6;Group TAC;Adventure, Comedy, Fantasy, Gourmet;Strategy Game;Shounen;G - All Ages
