id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
2993;Rosario to Vampire;6.76;Gonzo;Comedy, Fantasy, Romance, Ecchi;Harem, School, Vampire;Shounen;R+ - Mild Nudity
3228;Zoku Sayonara Zetsubou Sensei;7.9;Shaft;Comedy;Gag Humor, Parody, School;Shounen;R - 17+ (violence & profanity)
3297;Aria the Origination;8.49;Hal Film Maker;Fantasy, Sci-Fi, Slice of Life;Iyashikei;Shounen;G - All Ages
3225;Minami-ke Okawari;7.33;asread.;Comedy, Slice of Life;CGDCT, School;Seinen;PG-13 - Teens 13 or older
3226;Major S4;8.2;SynergySP;Sports;Team Sports;Shounen;PG-13 - Teens 13 or older
5725;Kodai Ouja Kyouryuu King: Yokuryuu Densetsu;6.43;Sunrise;Action, Adventure, Sci-Fi;Strategy Game;Kids;G - All Ages
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
