id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
270;Hellsing;7.49;Gonzo;Action, Horror, Supernatural;Adult Cast, Gore, Vampire;Seinen;R - 17+ (violence & profanity)
22;Tennis no Ouji-sama;7.86;Trans Arts;Sports;School;Shounen;PG-13 - Teens 13 or older
135;Hikaru no Go;8.08;Pierrot;Comedy, Drama, Supernatural;School, Strategy Game;Shounen;PG-13 - Teens 13 or older
156;X;7.4;Madhouse;Action, Drama, Fantasy, Romance;Super Power;Shoujo;R+ - Mild Nudity
276;Mahoromatic: Automatic Maiden;7.15;Gainax;Comedy, Romance, Sci-Fi, Ecchi;Military;Seinen;R+ - Mild Nudity
1614;Captain Tsubasa: Road to 2002;7.43;Group TAC;Sports;Team Sports;Shounen;PG-13 - Teens 13 or older
1678;Cyborg 009: The Cyborg Soldier;7.26;Japan Vistec;Action, Adventure, Sci-Fi;Mecha;Shounen;PG-13 - Teens 13 or older
1493;Project ARMS: The 2nd Chapter;7;TMS Entertainment;Action, Fantasy;Martial Arts, School, Super Power;Shounen;R - 17+ (violence & profanity)
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
