id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
10162;Usagi Drop;8.37;Production I.G;Slice of Life;Childcare, Iyashikei;Josei;PG-13 - Teens 13 or older
10379;Natsume Yuujinchou San;8.58;Brain's Base;Drama, Slice of Life, Supernatural;Iyashikei, Mythology;Shoujo;PG-13 - Teens 13 or older
10321;Uta no☆Prince-sama♪ Maji Love 1000%;7.03;A-1 Pictures;Comedy, Romance;Idols (Male), Music, Reverse Harem, School;Shoujo;PG-13 - Teens 13 or older
10049;Nurarihyon no Mago: Sennen Makyou;7.95;Studio Deen;Action, Supernatural;Mythology;Shounen;PG-13 - Teens 13 or older
10465;Manyuu Hikenchou;6.19;Hoods Entertainment;Action, Comedy, Ecchi;Historical, Samurai;Seinen;R+ - Mild Nudity
9938;Ikoku Meiro no Croisée The Animation;7.42;Satelight;Slice of Life;Historical, Iyashikei;Seinen;G - All Ages
9934;Nekogami Yaoyorozu;6.62;AIC PLUS+;Comedy, Slice of Life, Supernatural;CGDCT;Seinen;PG-13 - Teens 13 or older
10838;Double-J;5.46;DLE;Comedy;School;Shounen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
