id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
15085;Amnesia;6;Brain's Base;Fantasy, Mystery, Romance;Reverse Harem;Josei;PG-13 - Teens 13 or older
14397;Chihayafuru 2;8.39;Madhouse;Drama, Sports;Love Polygon, School, Strategy Game;Josei;PG-13 - Teens 13 or older
16005;Zettai Karen Children: The Unlimited - Hyoubu Kyousuke;7.48;Manglobe;Action, Supernatural;Super Power;Shounen;R - 17+ (violence & profanity)
15751;Senyuu.;7.29;Ordet;Action, Comedy, Fantasy;Parody;Shounen;PG-13 - Teens 13 or older
15613;Hakkenden: Touhou Hakken Ibun;7.4;Studio Deen;Action, Fantasy, Supernatural;Mythology;Shoujo;PG-13 - Teens 13 or older
15109;Cuticle Tantei Inaba;7.25;Zexcs;Action, Comedy, Mystery, Supernatural;Detective, Gag Humor, Organized Crime;Shounen;PG-13 - Teens 13 or older
14511;Minami-ke Tadaima;7.65;feel.;Comedy, Slice of Life;CGDCT, School;Seinen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
16317;Ishida to Asakura;5.87;Hotline;Comedy;School;Seinen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
