id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
10620;Mirai Nikki (TV);7.43;asread.;Action, Supernatural, Suspense;Gore, High Stakes Game, Psychological, Survival;Shounen;R+ - Mild Nudity
10800;Chihayafuru;8.19;Madhouse;Drama, Sports;Love Polygon, School, Strategy Game;Josei;PG-13 - Teens 13 or older
10030;Bakuman. 2nd Season;8.35;J.C.Staff;Comedy, Drama, Romance;Otaku Culture;Shounen;PG-13 - Teens 13 or older
9936;Maken-Ki!;6.33;AIC Spirits;Action, Ecchi;Harem, Martial Arts, School, Super Power;Shounen;R+ - Mild Nudity
10521;Working'!!;7.83;A-1 Pictures;Comedy;Romantic Subtext, Workplace;Seinen;PG-13 - Teens 13 or older
10460;Kimi to Boku.;7.67;J.C.Staff;Comedy, Drama, Romance, Slice of Life;Iyashikei, School;Shounen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
11457;Chibi☆Devi!;6.84;SynergySP;Fantasy, Supernatural;Childcare;Shoujo;PG - Children
10958;High Score;5.55;DLE;Comedy, Slice of Life;School;Shoujo;PG-13 - Teens 13 or older
11547;Sengoku☆Paradise Kiwami;5.99;Milky Cartoon;Action, Comedy, Drama, Romance;Historical, Samurai;Shoujo;PG-13 - Teens 13 or older
33739;Tian Xin Ge Ge;6.44;Puzzle Animation Studio Limited;Comedy;Historical;Kids;PG - Children
