id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
5356;Canaan;7.23;P.A. Works;Action, Sci-Fi, Supernatural;Super Power;Seinen;R - 17+ (violence & profanity)
6030;Needless;7.23;Madhouse;Action, Comedy, Sci-Fi, Ecchi;Super Power;Seinen;R - 17+ (violence & profanity)
6377;Zan Sayonara Zetsubou Sensei;7.87;Shaft;Comedy;Gag Humor, Parody, School;Shounen;R - 17+ (violence & profanity)
6098;Sora no Manimani;7.06;Studio Comet;Comedy, Romance;School;Seinen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
